RecordID,Address,Property Name,Ownership Type
010455501,"120 Northwest 108th Terrace, Pembroke Pines, FL 33026-4058, USA",Camden Portofino,APT
010457253,"120 Ocean Drive, Miami Beach, FL 33139-7254, USA",GLASS 120 OCEAN,COA
010675786,"12020 Southern Highlands Parkway, Southern Highlands, NV 89141-3001, USA",The Logan at Southern Highlands,HOA
010869303,"12065 Northwest 7th Avenue, North Miami, FL 33168-2524, USA",Emblem Tower,APT
011454300,"FIRST WELLINGTON FOUNDATION, INC, 1217 Periwinkle Place, Wellington, FL 33414-8630, USA","FIRST WELLINGTON FOUNDATION, INC.",COA
012282544,"12360 Richmond Avenue, Houston, TX 77082-2421, USA",Knox at Shadowlake,APT
012831518,"12500 Barker Cypress Road, Texas 77429-8239, USA",Coles Crossing,APT
013675694,"12801 U.S. 1 #33408, Juno Beach, FL 33408-2209, USA",Villas of Juno Beach Apartment Homes,APT
014232362,"POINSETTIA HOMEOWNERS ASSOCIATION, INC, 130 Granada Street, Fort Myers, FL 33905-4351, USA","POINSETTIA HOMEOWNERS ASSOCIATION, INC.",HOA
014390425,"1301 Throckmorton Street, Fort Worth, TX 76102-6349, USA",1301 THROCKMORTON RESIDENCES,APT
015111798,"1317 Post Oak Park Drive, Houston, TX 77027-9228, USA",Reverie at River Hollow,APT
015361233,"1322 North Main Street, North Port, FL 34286-1135, USA",The Gallery at North Port,APT
015749917,"1333 Santa Barbara Boulevard, Cape Coral, FL 33991-2803, USA",Gulf Coast Village,COA
015922534,"134 Moorings Park Drive, Naples, FL 34105-2122, USA",MOORINGS PARK ORIGINAL CAMPUS,APT
016050398,"1343 Saint Tropez Circle, Weston, FL 33326-3031, USA",10X Weston,APT
016259554,"Summerset Villas, 1350 North Escondido Boulevard, Escondido, CA 92026-2511, USA",Summerset Villas,COA
017014177,"13815 Southwest 271st Terrace, Naranja, FL 33032-7678, USA",Hidden Grove Apartments,APT
018259084,"14145 North 92nd Street, Scottsdale, AZ 85260-3700, USA",The Allison,APT
018382353,"1419 15th Street, Santa Monica, CA 90404-2723, USA",SANTA MONICA HOA,COA
018600573,"14230 War Admiral Place, Florida 33573-5505, USA",Belmont,APT
018964871,"14355 Cornerstone Village Drive, Houston, TX 77014-1266, USA",Cypress Creek Crossing,APT
019478418,"1455 East Katie Avenue, Nevada 89119-5628, USA",Valencia Apartments,APT
019652814,"1462 Solera Terrace, Jacksonville, FL 32211-4416, USA",SOLERA AT KENDALL WEST,HOA
019719999,"14661 U.S. Highway 1, Juno Beach, FL 33408-1106, USA",JUNO BEACH CONDO LLC,HOA
019747070,"1469 Georgia 42 #30233, Jackson, GA 30233-4508, USA",The Gardens Townhome Apartments,APT
021013427,"MOLOKAI CO-OP, INC, 151 Malayon Way, Leesburg, FL 34788-8763, USA","MOLOKAI CO-OP, INC.",HOA
021545265,"15240 North 142nd Avenue, Surprise, AZ 85379-8754, USA",Sierra Verde,APT
021669347,"153 Enterprise Drive, McKinney, TX 75069-2129, USA",The Victoria,COA
021762610,"TRI-PAR ESTATES PARK & RECREATION DISTRICT, 1532 Blind Brook Drive, Sarasota, FL 34234-2902, USA",TRI-PAR ESTATES PARK & RECREATION DISTRICT,HOA
022294575,"15550 Burnt Store Road, Punta Gorda, FL 33955-9355, USA",BURNT STORE COLONY RO ASSOCIATION INC,HOA
022999053,"15964 Southwest Indianwood Circle, Indiantown, FL 34956-3628, USA",INDIANWOOD CO-OP INC,HOA
023300846,"1600 Wellesley Circle, Naples, FL 34116-6101, USA",The Coast Residences,APT
023376900,"SWEET APPLE CONDO, 1602 Sweet Apple Circle, Alpharetta, GA 30004-6669, USA",SWEET APPLE CONDO,COA
023956207,"162 Northeast 25th Street, Miami, FL 33137-4845, USA",25 Mirage,APT
024487862,"1640 Northwest 128th Drive, Sunrise, FL 33323-5200, USA",10X Sunrise,APT
024833852,"Sandridge Living, 166 ADRIFT LOOP, Little River, SC 29566-7398, USA",Sandridge Living,APT
024908887,"16616 Palm Royal Drive, Tampa, FL 33647-2652, USA",The Grand Reserve at Tampa Palms,APT
024932228,"16630 North Pat Tillman Boulevard, Surprise, AZ 85387, USA",Bungalows at Asante,HOA
025108681,"1675 Northwest 4th Avenue, Boca Raton, FL 33432-1538, USA",Cynthia Gardens,APT
025340408,"16900 North Bay Road, Sunny Isles Beach, FL 33160-4252, USA",Intracoastal Yacht Club,APT
026967357,"COTTONWOOD RANCH CG HOMEOWNERS' ASSOCIATION, 1751 North Mandeville Lane, Casa Grande, AZ 85122-2491, USA",COTTONWOOD RANCH CG HOMEOWNERS' ASSOCIATION,HOA
028081498,"1809 Brickell Avenue, Miami, FL 33129-1619, USA","Stanley Axlrod Towers,St. Regis Residences Miami",APT
028724746,"18333 North Coyote Lakes Parkway, Surprise, AZ 85378, USA",Villages at Pleasant River,APT
029244914,"1866 Northeast 5th Avenue, Boynton Beach, FL 33435-3504, USA",The Preserve at Boynton Beach,APT
029855904,"The Butler, 1900 Spring Road, Oak Brook, IL 60523-1447, USA",The Butler,COA
029856767,"1900 Southwest 8th Street, Miami, FL 33135-3581, USA",InTown,APT
029894704,"1901 Waterside Village Drive, Texas 77407-7934, USA",Waterside Village,APT
030011270,"1906 Griffin Road, Lakeland, FL 33810-5249, USA",The Caroline,APT
030513393,"19252 West Bellfort Street, Texas 77407, USA",The Waterview,APT
030800206,"1941 Northwest 136th Avenue, Sunrise, FL 33323-5309, USA",Portico,APT
030840245,"1944 Katy Fort Bend Road, Texas 77493-4743, USA",Lakecrest Apartments,APT
030861323,"19455 Northeast 10th Avenue, Florida 33179-5704, USA",Aventura Harbor Apartments,APT
030870871,"19465 Boggy Creek Road, Orlando, FL 32832, USA",Futura at Nona Cove,APT
031019382,"1956 Port Cardiff Place, Newport Beach, CA 92660-5415, USA",IRVINE COMPANY,HOA
031451772,"19920 Foxwood Forest Boulevard, Humble, TX 77338-1654, USA",Foxwood,APT
031945543,"200 Mauk Circle, Denison, TX 75020-1652, USA",Manning Park Plaza,APT
031958196,"200 Northpines Drive, Houston, TX 77339-3820, USA",Kingwood Glen,APT
031969519,"200 Renaissance Parkway Northeast, Atlanta, GA 30308-2358, USA",Enclave Renaissance,APT
031991925,"200 Travis Drive, McDonough, GA 30252-3180, USA",Arcadia at Symphony Park,APT
032005655,"OCEANSIDE COMMUNITY, 200 Windward Way, Oceanside, CA 92054-2062, USA",OCEANSIDE COMMUNITY,COA
032030147,"2000 Village Lane, Winter Park, FL 32792-3451, USA",The Taylor at Winter Park,APT
032164878,"2005 South Mason Road, Katy, TX 77450-5636, USA",Oak Park Trails,APT
032279772,"201 Bonnie Boulevard, Palm Springs, FL 33461-1369, USA",Sabal Pointe Condominium Residences,COA
032371485,"201 South Palm Avenue, Sarasota, FL 34236-6898, USA",One Palm,APT
032390329,"201 West 65th Street, Hialeah, FL 33012-6766, USA",Las Brisas Gardens Apts,APT
032428030,"20100 North 78th Place, Scottsdale, AZ 85255-3800, USA",The Edge at Grayhawk,APT
032609590,"CYPRESS BEND RV RESORT, 20181 Apple Tree Lane, Estero, FL 33928-4001, USA",CYPRESS BEND RV RESORT,COA
032636321,"202 Ashbury Square, Mebane, NC 27302-8741, USA",Ashbury Square,APT
033434243,"205 12th Street Northeast, Atlanta, GA 30309-4038, USA",Piedmont House,APT
034055873,"2075 North Mobile Estates Drive, Sarasota, FL 34231-5647, USA",MOBILE ESTATES HOMEOWNERS ASSN INC,HOA
034772894,"2100 North Atlantic Avenue, Cocoa Beach, FL 32931-3324, USA",2100 Tower Condominium,COA
035116774,"2110 Hestia Loop, Oviedo, FL 32765-9274, USA",LEGACY POINT AT UCF,APT
035269763,"2117 Earl Road, Fort Myers, FL 33901-8015, USA",ROSE GARDEN OF FORT MYERS,APT
035566272,"PLACE NEIGHBORHOOD ASSOCIATION, INC, 21279 Estero Vista Court, Estero, FL 33928-3503, USA","ESTERO PLACE NEIGHBORHOOD ASSOCIATION, INC.",HOA
035982734,"2146 Miller Chapel Road Southeast, Conyers, GA 30094-2004, USA",Vaughn Townhomes,APT
036323598,"2161 Hawkins Street, Charlotte, NC 28203-5395, USA",Linea,APT
036584759,"218 Honeysuckle Lane, Paso Robles, CA 93446-4051, USA",PASO ROBLES OAK MEADOWS,HOA
036613769,"218 Southeast 7th Street, Hallandale Beach, FL 33009-6462, USA",Vita at the Park,APT
037557156,"2217 Northwest 7th Street, Miami, FL 33125-3330, USA",Barcelona Condos,COA
038236583,"225 Northwest 34th Terrace, Miami, FL 33127-3413, USA",NEXT DOOR DISTRIBUTION LLC,HOA
038801569,"Rolling Hills Gardens, 2290 Mackenzie Creek Road, Chula Vista, CA 91914-3542, USA",Rolling Hills Gardens,APT
039030450,"230 Lanier Drive, Statesboro, GA 30458, USA",Boardwalk Apartments,APT
039227179,"2307 Chiquita Boulevard South, Cape Coral, FL 33991-3594, USA",The Gallery - Cape Coral,APT
039629933,"2323 Huntington Street, Huntington Beach, CA 92648-2848, USA",HUNTINGTON BEACH COMPANY,COA
039665637,"Westmont at San Miguel Ranch, 2325 Proctor Valley Road, Chula Vista, CA 91914-2099, USA",Westmont at San Miguel Ranch,APT
039812306,"2333 Cascades Avenue, Austin, TX 78747-4423, USA",Aspire at Onion Creek,APT
040130366,"2355 Estuary Drive, Naples, FL 34105, USA",MOORINGS PARK GREY OAKS,APT
040819310,"2401 Collins Avenue, Miami Beach, FL 33140-4752, USA",The Riviera,COA
040832022,"2401 South Jackson Street, Seattle, WA 98144-2489, USA",Jackson Apartments,APT
040876715,"2404 16th Street Court East, Florida 34208-7721, USA",Lake East I & II,APT
041292616,"2422 South Loop 336 West, Conroe, TX 77304, USA",BOARDWALK VILLAGE,HOA
041500936,"2436 Centergate Drive, Miramar, FL 33025-7203, USA",Aventine at Miramar,APT
042339180,"250 South Beach Road, Florida 33469-2866, USA",Regency Condominiums,APT
042343580,"250 Cherry Ridge Drive, Jacksonville, FL 32222-2876, USA",Oakleaf Plantation,APT
043230828,"255 Evernia Street, West Palm Beach, FL 33401-5678, USA",The Strand,APT
043673771,"2596 Twin Drive, Sarasota, FL 34234-4944, USA",Rolling Green,APT
044281932,"26201 Southwest 139th Court, Florida 33032-6603, USA",Naranja (Sunset Pointe),APT
044773157,"2660 North Haverhill Road, Florida 33417-2994, USA",Villa Regina,APT
044893378,"2675 West Agate Avenue, Nevada 89123-3312, USA",Ensemble Senior Living,APT
045021881,"2691 Livingston Road, Windsor Hills, FL 34747, USA",Sycamore Resort,APT
045230993,"2700 North Miami Avenue, Miami, FL 33127-4466, USA",Cynergi at Wynwood,APT
045518406,"2715 Statesville Boulevard, Salisbury, NC 28147-6488, USA",Rowan Woodland,APT
045678123,"2725 Somerset Drive, Lauderdale Lakes, FL 33311-2748, USA",Somerset Grove,APT
045726033,"FOUNTAIN VIEW LOT OWNER'S ASSOCIATION INC, 273 Caravan Circle, North Fort Myers, FL 33903-7321, USA",FOUNTAIN VIEW LOT OWNER'S ASSOCIATION INC.,COA
045813774,"2736 South University Drive, Davie, FL 33328-1480, USA",JOSE FELIPE ALONSO,COA
045981538,"2750 South Durango Drive, West Sahara, NV 89117-2636, USA",Dolce By The Lakes,APT
046190330,"27777 North Black Canyon Highway, Phoenix, AZ 85085-7633, USA",Avilla Canyon,HOA
047664318,"290 Courtney Lakes Circle, West Palm Beach, FL 33401-2358, USA",Cortland West Palm,APT
047740012,"2902 Whispering Winds Drive, Pearland, TX 77581-4613, USA",Whispering Winds Apartments,APT
048036047,"2920 Southwest 28th Terrace, Miami, FL 33133-3757, USA","GROVE'S EDGE CONDOMINIUM ASSOCIATION, INC.",APT
048135349,"2929 Westheimer Road, Houston, TX 77098-1159, USA",The Belle Meade at River Oaks,APT
048591387,"ESTATES RO ASSOCIATION INC, 2983 Indian River Drive Northeast, Palm Bay, FL 32905-4358, USA",PALM BAY ESTATES RO ASSOCIATION INC,HOA
048607119,"29862 North Tatum Boulevard, Arizona 85331-5860, USA",Azure Creek at Tatum Ranch,APT
048911814,"30 Clipper Court, St. Augustine Beach, FL 32080-5949, USA",Seaside Villas,APT
049095861,"300 Pressler Street, Austin, TX 78703-5183, USA",The Belvedere,COA
049718320,"3025 Southwest 3rd Avenue, Miami, FL 33129-2767, USA",CoralGrove Brickell,APT
051067814,"3100 Collins Avenue, Mid-Beach, FL 33140-4156, USA",Marble Terrace Apartments,APT
051074495,"3100 North State Road 7, Margate, FL 33063-7004, USA",Arbor View,APT
051079747,"3100 Tradition Circle, Mount Pleasant, SC 29466-7153, USA",SOMERBY OF MT. PLEASANT,APT
051082317,"31003 North North Valley Parkway, Phoenix, AZ 85085, USA",Village at Sonoran Vista,HOA
051088707,"3101 Emerald Pointe Drive, Hollywood, FL 33021-3064, USA",La Vue at Emerald Pointe,APT
051773390,"3138 Linne Road, Paso Robles, CA 93446, USA",Reserve at Vinedo,HOA
052023797,"3151 North Soaring Gulls Drive, Las Vegas, NV 89128-7020, USA",Desert Shores Villas,APT
053160136,"32257 Snowberry Way, Florida 33545-8338, USA",Madison Watergrass,APT
053513465,"3250 West Tennessee Street, Tallahassee, FL 32304, USA",University Green,APT
053526254,"3252 Southwest 52nd Avenue, Pembroke Park, FL 33023-5427, USA",Azure Villas,APT
054092020,"3301 Northeast 5th Avenue, Miami, FL 33137-4053, USA",Bay Park Towers,APT
054587442,"3334 South Bismark Lane, Jupiter, FL 33458-8409, USA",The Dakota,APT
055259370,"3400 Louetta Road, Texas 77388-4724, USA",Cardiff at Louetta Lakes,APT
055509685,"Allina LaJolla, 3417 Lebon Drive, San Diego, CA 92122-5217, USA",Allina LaJolla,APT
055574664,"34202 Del Obispo Street, Dana Point, CA 92629, USA",South Cove,COA
055866456,"345 North Haverhill Road, West Palm Beach, FL 33415-2030, USA",Acacia Place,APT
056350574,"3500 South Kanner Highway, Stuart, FL 34994-4808, USA",RIVERLAND STUART,HOA
056553459,"35149 Ada Avenue, Zephyrhills, FL 33541-2102, USA","ZEPHYR SHORES PROPERTY OWNERS ASSOCIATION, INC.",HOA
057458760,"3609 High Ridge Road, Boynton Beach, FL 33426-8618, USA",High Ridge Landing,APT
057461150,"3609 Northeast 207th Street, Aventura, FL 33180-3747, USA",Waterways Village Apartments,APT
058075666,"3680 Avalon Park East Boulevard, Florida 32828-9372, USA",Parkside at Avalon Park,APT
058305361,"3701 Southwest 52nd Avenue, Pembroke Park, FL 33023-6914, USA",Pembroke Gardens Apartments,APT
058440755,"3711 West State Road 84, Davie, FL 33312-4807, USA",New River Cove Apartments,APT
058965724,"3779 Autzen Stadium Way, Las Vegas, NV 89115-1568, USA",Diamond Vista Homes,HOA
059186887,"3800 County Road 94 #77578, Manvel, TX 77578-2958, USA",Cobblestone,APT
059195030,"3800 Southeast Gatehouse Circle, Stuart, FL 34994-5012, USA",The Crossings at Indian Run,APT
059201581,"3801 Collins Avenue, Mid-Beach, FL 33140-3705, USA",Mosaic on Miami Beach Condominium,APT
059505693,"FLORENCE GARDENS MOBILE HOME ASSOCIATION, 3827 North South Dakota Avenue, Florence, AZ 85132-8332, USA",FLORENCE GARDENS MOBILE HOME ASSOCIATION,COA
059704171,"3851 North Dixie Highway, Florida 33064-4463, USA",Hillsboro Landing,APT
059732892,"3857 Pritmore Road, Jacksonville, FL 32257-6163, USA",JaxBay Apartments,APT
060161795,"391 17th Street Northwest, Atlanta, GA 30363-1148, USA",Farrington Midtown,APT
061645405,"403 Buttercup Creek Boulevard, Cedar Park, TX 78613-3709, USA",Buttercup Creek,APT
062168147,"407 Alafaya Woods Boulevard, Oviedo, FL 32765-5522, USA",Alafaya Woods,APT
063483847,"416 Northeast 1st Avenue, Fort Lauderdale, FL 33301-3258, USA",Muse Tower,APT
064107257,"SIX LAKES COUNTRY CLUB INC, 421 Snead Drive, North Fort Myers, FL 33903-2624, USA",SIX LAKES COUNTRY CLUB INC,HOA
064488441,"4241 East Live Oak Avenue, Arcadia, CA 91006, USA",Magnolia,APT
064695705,"WALKABOUT PROPERTY OWNERS ASSOCIATION, INC, 4267 Fitzroy Reef Drive, Mims, FL 32754-2218, USA","WALKABOUT PROPERTY OWNERS ASSOCIATION, INC.",HOA
065066535,"4303 West Atlantic Boulevard, Coconut Creek, FL 33066-1747, USA",Banyan Bay,APT
065566546,"4350 Northwest 8th Court, Plantation, FL 33317-1500, USA",STRATA AT PLANTATION,APT
065754804,"4380 Northwest 36th Street, Lauderdale Lakes, FL 33319-5539, USA",Seawind Lakes,APT
066343939,"444 Brickell Avenue, Miami, FL 33131-2403, USA",Baccarat Residences,COA
066355582,"PARK ENCINITAS, 444 North El Camino Real, Encinitas, CA 92024-1304, USA",PARK ENCINITAS,COA
066388720,"4444 Felix Way, Frisco, TX 75033-3735, USA",Newman Village Apartments,APT
066659044,"44900 West Bowlin Road, Maricopa, AZ 85139-2781, USA",Bungalows on Bowlin,HOA
066915647,"451 Cheerful Street, West Palm Beach, FL 33407-6355, USA",Merry Place,APT
067261924,"455 Old Bridge Road, Bensalem, PA 19020-7764, USA",SALEM HARBOUR,COA
067395100,"4574 South Park Grove Street, Gilbert, AZ 85297-1169, USA",Mosaic Layton Lakes,HOA
067479884,"4595 34th Street South, St. Petersburg, FL 33711-4550, USA",The Manhattan,APT
068023686,"RANCHO MONSERATE COUNTRY CLUB, 4650 Dulin Road, Fallbrook, CA 92028-9346, USA",RANCHO MONSERATE COUNTRY CLUB,COA
068044450,"Pasea La Jolla, 4655 Governor Drive, San Diego, CA 92122-3047, USA",Pasea La Jolla,APT
068166717,"SPRINGTREE PROPERTY OWNERS ASSOCIATION, INC, 4681 Southeast Winter Haven Court, Stuart, FL 34997-8579, USA","SPRINGTREE PROPERTY OWNERS ASSOCIATION, INC.,",HOA
068798254,"4768 West Atlantic Boulevard, Florida 33063-6784, USA",Vista Verde at Coconut Creek,APT
068898902,"PELICAN LAKE PROPERTY OWNERS ASSOCIATION OF COLLIER COUNTY, FLORIDA, INC, 4794 Southern Breeze Drive, Naples, FL 34114-9433, USA","PELICAN LAKE PROPERTY OWNERS ASSOCIATION OF COLLIER COUNTY, FLORIDA, INC.",HOA
068995284,"480 Hibiscus Street, West Palm Beach, FL 33401-5866, USA",City Palms,APT
069348207,"4844 Northwest 24th Court, Lauderdale Lakes, FL 33313-3336, USA",Caravel Arms Apartments,APT
069676704,"GOLF LAKES RESIDENTS ASSOCIATION INC, 4902 5th A Street East, Bradenton, FL 34203-4546, USA",GOLF LAKES RESIDENTS ASSOCIATION INC,HOA
070547197,"500 North Congress Avenue, West Palm Beach, FL 33401-2959, USA",Parc 500,APT
070574568,"CityFront Terrace, 500 West Harbor Drive, San Diego, CA 92101-7715, USA",CityFront Terrace,COA
070596964,"5001 Little River Road, Myrtle Beach, SC 29577-2449, USA",Covenant Towers,COA
070741655,"501 Southwest 1st Court, Pompano Beach, FL 33060-6870, USA",Oaks at Pompano,APT
071011898,"503 Shipwreck Lane, Fort Myers Beach, FL 33931, USA",GULF WATERS RV HOMEOWNERS ASSN,HOA
071269751,"5050 Northwest 22nd Avenue, Florida 33142, USA",The 5050 Residences,APT
071541208,"508 Schnapps Lane, North Carolina 27540, USA",Varina Gateway Townes,COA
071830726,"Westview Commons, 5100 Southwest 64th Avenue, Davie, FL 33314-5232, USA",Westview Commons,APT
072665972,"RANCHO CARLSBAD, 5186 Don Rodolfo Drive, Carlsbad, CA 92010-3949, USA",RANCHO CARLSBAD,COA
072875371,"5200 Playpen Drive, Jacksonville, FL 32210-1452, USA",TIMBER RUN,APT
072889047,"5201 West Olive Avenue, Glendale, AZ 85302-4217, USA",Village at Olive Marketplace,HOA
073281126,"SANDALWOOD PARK HOMEOWNERS INC, 524 Sandpiper Drive, Venice, FL 34285-5627, USA",SANDALWOOD PARK HOMEOWNERS INC,COA
073327128,"5249 Northwest 7th Street, Miami, FL 33126-3382, USA","ARAGON TOWERS CONDOMINIUM ASSOCIATION, INC.",COA
073738861,"OCEAN RESORTS CO-OP, INC., A FLORIDA CORPORATION, 5300 Ebbtide Way, Hutchinson Is, FL 34949-8423, USA","OCEAN RESORTS CO-OP, INC., A FLORIDA CORPORATION",HOA
073745194,"5300 West 16th Avenue, Hialeah, FL 33012-2104, USA",The Solaire at Las Palmas Village,APT
073758934,"5302 East Van Buren Street, Phoenix, AZ 85008-7965, USA",Belaflora Apartment Homes,APT
074123313,"5345 East Van Buren Street, Phoenix, AZ 85008-6788, USA",Riverwalk at Papago Park,APT
074234243,"OWNERS ASSN, 5361 Forest Park Drive, North Fort Myers, FL 33917-7401, USA",FOREST PARK OWNERS ASSN,HOA
074271180,"537 Parkwood Avenue, North Port, FL 34287-1535, USA",HARBOR COVE,HOA
074502997,"5401 East Van Buren Street, Phoenix, AZ 85008-3497, USA",Red Rox,APT
074668213,"542 Glenn Gee Road, Pendergrass, GA 30567-4687, USA",The Blakely,APT
074762055,"5430 Wake Forest Highway, Durham, NC 27703, USA",Triple Crown,APT
075202288,"5501 La Branch Street, Houston, TX 77004, USA",X Houston,APT
075676665,"Waterford Terrace, 5580 Aztec Drive, La Mesa, CA 91942-2132, USA",Waterford Terrace,APT
077215114,"5838 Collins Avenue, Miami Beach, FL 33140-2226, USA",Regency Tower,COA
077286488,"5851 Holmberg Road, Parkland, FL 33067-4536, USA",The Villas at Ibis Landing,APT
077511954,"5900 Northwest 46th Terrace, Tamarac, FL 33319-2705, USA",Golf Villas at Sabal Palm,APT
078273861,"Powell Spring Apartments, 600 Millbrook Drive, Pittsboro, NC 27312-9825, USA",Powell Spring Apartments,APT
078281436,"600 Old Street Road, Trevose, PA 19053-7718, USA",ARBOR LANE,COA
078319449,"6001 North Ocean Drive, Hollywood, FL 33019-4600, USA",Renaissance On the Ocean,COA
078499124,"6017 Memorial Drive, Houston, TX 77007-7053, USA",The Sophie at Bayou Bend,APT
080256868,"6200 Vista Del Mar, Los Angeles, CA 90293-7586, USA",Laguna Del Rey Apartments,APT
080663219,"625 Piedmont Avenue Northeast, Atlanta, GA 30308-6200, USA",Harper on Piedmont,APT
080738123,"6261 Northeast 19th Avenue, Fort Lauderdale, FL 33308-1352, USA",Gregorian Court Co-Ops,COA
081308165,"Avia La Jolla II Senior 55+ Community, 6345 Gullstrand Street, San Diego, CA 92122-3058, USA",Avia La Jolla II Senior 55+ Community,APT
081334352,"635 Lyons Farm Parkway, Murfreesboro, TN 37127-5803, USA",Farmhouse Apartments,APT
081413796,"ASSOCIATION OF MARION LANDING OWNERS, INC, 6366 Southwest 84th Lane, Ocala, FL 34476-6008, USA","ASSOCIATION OF MARION LANDING OWNERS, INC.",COA
081877610,"644 La Sala, North Port, FL 34287-2548, USA",LA CASA,HOA
081905245,"6445 Independence Place Drive, Fayetteville, NC 28303-2592, USA",Independence Place,APT
082069279,"649 Amelia Island Parkway, Fernandina Beach, FL 32034-9140, USA",The Lakeside at Amelia Island,APT
082193054,"650 West Combs Road, Arizona 85140-9014, USA",Bungalows at Combs and Gantzel,APT
082416162,"6535 Bandera Avenue, Dallas, TX 75225-4085, USA",Park Hollow,APT
082727160,"6601 Dunlap Street, Houston, TX 77074-5106, USA",Sterling Point,APT
082731128,"6601 South West Shore Boulevard, Tampa, FL 33616-1500, USA",CASA BELLA,APT
082840464,"TRAILER ESTATES PARK & RECREATION DISTRICT, 6619 Kansas Street, Bradenton, FL 34207, USA",TRAILER ESTATES PARK & RECREATION DISTRICT,HOA
082990054,"665 Ives Dairy Road, Florida 33179-5406, USA",Horizons North,APT
083000321,"6650 East Mayo Boulevard, Phoenix, AZ 85054-3102, USA",Clearwater Mayo Blvd,APT
083036309,"6664 Peachtree Industrial Boulevard, Georgia 30360-2111, USA",Lacota,APT
083041270,"BRENTWOOD TOWNHOUSE CONDOMINIUMS, INC, 6667 Southwest 41st Place, Davie, FL 33314-3319, USA","BRENTWOOD TOWNHOUSE CONDOMINIUMS, INC.",COA
083470048,"6750 Woodlake Drive, Florida 32810-3557, USA",Talia at Maitland,APT
083526802,"677 Southwest 9th Avenue, Miami, FL 33130-3283, USA","BRICKELL HEIGHTS MASTER ASSOCIATION, INC.",COA
083542198,"6777 Sommerall Drive, Houston, TX 77084-6974, USA",Sommerall Station,APT
083939978,"6857 College Court, Davie, FL 33317-8100, USA",Nova Central,APT
084007791,"6880 Holiday Park Boulevard, North Port, FL 34287-2609, USA",HOLIDAY PARK,COA
084755079,"Meridian Tower, 700 Front Street, San Diego, CA 92101-6000, USA",Meridian Tower,COA
084855815,"701 Aspen Peak Loop, Henderson, NV 89011-1840, USA",South Valley Ranch Apartments,APT
