MDU,HW_Property Name,Address,RecordID,Zip
F1133,637 PROPOLIS,"637 PROPOLIS, Miami, FL 33128, USA",,
F1554,72 PARK,"7145 Carlyle Avenue, Miami Beach, FL 33141-3086, USA",086053431,33141
F1734,7400 OCEANSIDE,"7400 OCEANSIDE, Fisher Island, FL 33109, USA",,
F1735,7600 OCEANSIDE,7600 FISHER ISLAND DR 33109,088587439,33109
F1737,7800 OCEANSIDE III,7812 FISHER ISLAND DR 33109,089473634,33109
F0106,900 BISCAYNE BAY,"900 Biscayne Boulevard, Miami, FL 33132-1561, USA",095327199,33132
F0811,ABBEY HOTEL,"ABBEY HOTEL, Miami Beach, FL 33139, USA",,
F0744,AC MARRIOTT DORAL,"3940 Northwest 79th Avenue, Florida 33166-6421, USA",060457172,33166
F1312,ACQUALINA,"17749 Collins Avenue, Sunny Isles Beach, FL 33160-4693, USA",027307717,33160
F1092,ADMIRALTY POINT,"2300 Gulf Shore Boulevard North, Naples, FL 34103-4379, USA",039075727,34103
F1246,ADVENTURA ISLES,"605 Northeast 193rd Street, Miami, FL 33179-3977, USA",078856996,33179
F0825,AERIE,"AERIE, Miami, Northwest 7th Avenue, Miami, FL 33128, USA",,
F1490,ALAMEDA ISLES,"1 Alameda Grande, Englewood, FL 34223-2101, USA",000010297,34223
F1651,ALANA CONDOMINIUM,9901 W BAY HARBOR DR 33154,099178482,33154
F0889,ALINA,"200 Southeast Mizner Boulevard, Boca Raton, FL 33432-5203, USA",031981515,33432
F1653,"ALINA BOCA RATON PHASE 2, BUILDING 2","210 Southeast Mizner Boulevard, Boca Raton, FL 33432-5091, USA",034733909,33432
F1654,"ALINA BOCA RATON PHASE 2, BUILDING 3","220 Southeast Mizner Boulevard, Boca Raton, FL 33432-5099, USA",037071114,33432
F0538,ALL SEASONS OF NAPLES,"15450 Tamiami Trail North, Naples, FL 34110-6217, USA",022071295,34110
F0539,ALL SEASONS OF NAPLES MC,"ALL SEASONS OF NAPLES MC, Naples, FL 34110, USA",,
F0622,ALLEGRO CONDOMINIUM,"4031 Gulf Shore Boulevard North, Naples, FL 34103-2605, USA",061718745,34103
F1533,ALLINGTON TOWERS NORTH,"1500 South Ocean Drive, Hollywood, FL 33019-2363, USA",020646122,33019
F1814,ALLINGTON TOWERS SOUTH,"1600 South Ocean Drive, Hollywood, FL 33019-2447, USA",023294557,33019
F1007,ALOFT DORAL,"ALOFT DORAL, Northwest 107th Avenue, Doral, FL 33172, USA",,
F1340,ALOFT HOTEL AVENTURA,"ALOFT HOTEL AVENTURA, Aventura, FL 33180, USA",,
F0914,ALTA FLAGLER VILLAGE II,"444 Northeast 7th Street, Fort Lauderdale, FL 33304-2699, USA",066356416,33304
F1281,ALTURA,"2910 West Barcelona Street, Tampa, FL 33629-7456, USA",047882701,33629
F0667,AMAVIDA SENIOR LIVING MC,"AMAVIDA SENIOR LIVING MC, Fort Myers, FL 33908, USA",,
F1307,AMBASSADOR II,"2780 South Ocean Boulevard, Palm Beach, FL 33480-5581, USA",046222583,33480
F2011,AMBASSADORS EAST CONDOMINIUM,"3215 South Ocean Boulevard, Highland Beach, FL 33487-2505, USA",052990385,33487
F0498,AMELIA LAKE,"BAYOU LANE, FL 34112, USA",099391680,34112
F1837,AMERICAS ON THE PARK CONDOMINIUM,"AMERICAS ON THE PARK CONDOMINIUM, Fort Lauderdale, FL 33304, USA",,
F1858,ANDALUSIA CONDOMINIUM RESIDENCES,"100 Andalusia Avenue, Coral Gables, FL 33134-6112, USA",000417251,33134
F1591,"ANGLER'S COVE","1456 Northeast Ocean Boulevard, Stuart, FL 34996-1542, USA",019498484,34996
F0185,APOGEE,"800 South Pointe Drive, Miami Beach, FL 33139-7163, USA",090411954,33139
F0347,APOGEE BEACH,"3951 South Ocean Drive, Hollywood, FL 33019-3046, USA",060533813,33019
F0618,AQUA AT PELICAN ISLE,"13675 Vanderbilt Drive, Naples, FL 34110-6003, USA",016658510,34110
"F1159, F1160, F1161",ARBOR TRACE,"ARBOR TRACE, Arbor Lake Drive, Naples, FL 34110, USA",,
F0721,ARBORETUM,4580 BAYSHORE DRIVE 33432,067425598,33432
F0691,ARDISSONE CONDO,"4400 Gulf Shore Boulevard North, Naples, FL 34103-2216, USA",065962190,34103
GA629,ARDMORE AT RICE HOPE,"108 Birch Circle, Georgia 31407-3322, USA",004779823,31407
F0603,ARIA ON THE BAY,"488 Northeast 18th Street, Miami, FL 33132-1112, USA",069505204,33132
F0926,ARLO WYNWOOD,"ARLO WYNWOOD, Northwest Miami Court, Miami, FL 33127, USA",,
F0653,ARMANI CASA,"18975 Collins Avenue, Sunny Isles Beach, FL 33160-2300, USA",029618412,33160
F0573,ARRIVE 850 HOUSING,"ARRIVE 850 HOUSING, Tallahassee, FL 32304, USA",,
F0725,ART PLAZA,"58 Northeast 14th Street, Miami, FL 33132-1392, USA",076924939,33132
F0769,ARTE,"8955 Collins Avenue, Surfside, FL 33154-3516, USA",094993120,33154
F0126,ARTECH,"2950 Northeast 188th Street, Aventura, FL 33180-2708, USA",048359798,33180
F1293,ASPEN RIDGE,"14444 Parker Ridge Court, Delray Beach, FL 33484-2578, USA",019212927,33484
F0775,ASSEMBLAGE,"ASSEMBLAGE, Tallahassee, FL 32304, USA",,
F0943,ASTON GARDENS,"4800 Aston Gardens Way, Naples, FL 34109-3501, USA",069009431,34109
F1284,ATLANTIC OCEAN CLUB CONDO,"4020 Galt Ocean Drive, Fort Lauderdale, FL 33308-6543, USA",061554525,33308
F1066,ATLANTIS III,"10200 South Ocean Drive, Hutchinson Island South, FL 34957-2566, USA",002070853,34957
GA242,ATRIA AT NORTH POINT,"100 Somerby Drive, Alpharetta, GA 30009-8780, USA",000546637,30009
F0474,ATTON HOTEL MIAMI (NOVOTEL),"ATTON HOTEL, NOVOTEL), Miami, Southwest 1st Avenue, Miami, FL 33129, USA",,
F0701,AUBERGE,"2200 North Ocean Boulevard, Fort Lauderdale, FL 33305-1982, USA",037104609,33305
F1869,AURORA CONDOMINIUM,"17550 Collins Avenue, Sunny Isles Beach, FL 33160-2867, USA",027024636,33160
"GA382, GA558",AVALON - HOMES,"AVALON - HOMES, Alpharetta, GA 30009, USA",,
F0519,AVALON OF NAPLES,"6820 Davis Boulevard, Naples, FL 34104, USA",083792367,34104
F0831,AVALON TRAILS,"AVALON TRAILS, Three Ponds Trail, Delray Beach, FL 33446, USA",,
F1230,AVALON TRAILS POD K,"AVALON TRAILS POD K, Delray Beach, FL 33446, USA",,
F0571,AVENTURA PARKSQUARE,"2960 Northeast 207th Street, Aventura, FL 33180-1447, USA",048439308,33180
F1880,AVERY II,"120 North Compass Way, Dania Beach, FL 33004-2405, USA",010449049,33004
F1197,AVIARA EAST POMPANO,"1621 South Dixie Highway, Pompano Beach, FL 33060-8912, USA",024026434,33060
F0546,AVIDA SENIOR LIVING,"AVIDA SENIOR LIVING, Fort Myers, FL 33908, USA",,
F0798,AZURE,"9401 Collins Avenue, Surfside, FL 33154-2605, USA",097571956,33154
F1065,AZURE OCEANFRONT RESIDENCES,1401 1ST ST S 32250,017655595,32250
F0348,BAHAMA BAY II,"2601 Bimini Bay Crest, Four Corners, FL 33897-1782, USA",043890649,33897
F1366,BALDWIN PARK,"1913 Meeting Place, Orlando, FL 32814-6325, USA",030220640,32814
F0542,BALMORAL AT WATERS EDGE,"124 Kenny Boulevard, Haines City, FL 33844-7618, USA",012394042,33844
F0393,BALTUS HOUSE,"4250 Biscayne Boulevard, Miami, FL 33137-3268, USA",064586648,33137
F1881,BAR HARBOUR,86 MACFARLANE DR 33483,093732628,33483
F0893,BAREFOOT BEACH CLUB,"259 Barefoot Beach Boulevard, Bonita Springs, FL 34134-8533, USA",043612036,34134
F0937,BAREFOOT BEACH POA,"195 Barefoot Beach Boulevard, Bonita Springs, FL 34134-6502, USA",030902200,34134
F0192,BARRINGTON COVE,"11275 Riverstone Way, Jacksonville, FL 32218, USA",007560816,32218
F0969,BARRINGTON COVE PHASE 3,"11561 Driftwood Creek Drive, Jacksonville, FL 32218-7381, USA",008806777,32218
F0515,BAY BREEZE,1174 98TH ST 33154,009457150,33154
F0627,BAY HARBOR ONE,"1100 100th Street, Bay Harbor Islands, FL 33154-1527, USA",005943944,33154
F0512,BAY HOUSE MIAMI CONDO,"600 Northeast 27th Street, Miami, FL 33137-4690, USA",078279147,33137
F1575,BAYBERRY HOA,"1700 Bayberry Drive, Pembroke Pines, FL 33024-3028, USA",025647592,33024
F0882,BAYPOINT CONDOMINIUM ASSOCIATI,33 BLUEBILL AVE 34108,053913611,34108
F1025,BAYSIDE AT BAREFOOT BEACH,"253 Barefoot Beach Boulevard, Bonita Springs, FL 34134-8592, USA",042963672,34134
F1739,BAYSIDE VILLAGE,"BAYSIDE VILLAGE, Fisher Island, FL 33109, USA",,
F1740,BAYSIDE VILLAGE EAST 20_21,"2331 Fisher Island Drive, Miami Beach, FL 33109-0094, USA",039787481,33109
F1730,BAYVIEW II,"BAYVIEW II, Fisher Island, FL 33109, USA",,
F1726,BAYVIEW ONE,"BAYVIEW ONE, Fisher Island, FL 33109, USA",,
F0397,BEACH CLUB AT HALLANDALE,"1850 South Ocean Drive, Hallandale Beach, FL 33009-7675, USA",029026414,33009
F1882,BEACH FRONT OF SINGER ISLAND,"4600 North Ocean Drive, Riviera Beach, FL 33404-2679, USA",067607046,33404
F1785,BEACH HARBOR CLUB CONDOMINIUM,"Twin Shores Boulevard CONDOMINIUM, Longboat Key, FL 34228, USA",,
F0458,BEACH HOUSE 8,"3621 Collins Avenue, Miami Beach, FL 33140-4079, USA",057629997,33140
F1044,BEACH WALK EAST CONDOMINIUM,"3201 South Ocean Boulevard, Highland Beach, FL 33487-2571, USA",052727628,33487
F1136,BEACHWALK,"705 Reef Point Circle, Naples, FL 34108-8737, USA",085263346,34108
F0386,BEACHWALK CONDO,"2600 East Hallandale Beach Boulevard, Hallandale Beach, FL 33009-4876, USA",043870707,33009
F0826,BEACHWOOD VILLAS,"2355 Northeast Ocean Boulevard, Stuart, FL 34996-2945, USA",040132584,34996
F1544,BEL AIRE,"5121 Casa Real Drive, Delray Beach, FL 33484-6661, USA",072115967,33484
F1028,BELLA TERRA,"20070 Bella Terra Boulevard, Estero, FL 33928-6340, USA",032214794,33928
F0079,BELLA VISTA,"3559 Northwest 29th Street, Lauderdale Lakes, FL 33311, USA",056973877,33311
F1156,BELLA VISTA ON THE PARK,"1127 East Seminole Avenue, Jupiter, FL 33477-5534, USA",007542493,33477
F0868,BELLA VISTA PHASE 2,"3541 Northwest 30th Place, Lauderdale Lakes, FL 33311-8577, USA",056847182,33311
F1628,BELLALAGO AND ISLES OF BELLALAGO,"1220 Lago Vista Court, Kissimmee, FL 34746-2850, USA",011644801,34746
F0973,BELLASERA RESORT,"BELLASERA RESORT, Naples, FL 34102, USA",,
F1073,BELLINI CONDOMINIUM,"10225 Collins Avenue, Bal Harbour, FL 33154-1443, USA",002197790,33154
F1532,BENT TREE VILLAS EAST,"4205 Pear Tree Circle, Boynton Beach, FL 33436-3744, USA",064016294,33436
F0416,BERKLEY SOUTH,"3015 North Ocean Boulevard, Fort Lauderdale, FL 33308-7335, USA",049493828,33308
F1128,BERMUDA CAYS CONDOMINIUM ASSOCIATION,"3911 Windward Passage Circle, Bonita Springs, FL 34134-3377, USA",060198984,34134
F0371,BILLOWS,"2601 Gulf Shore Boulevard North, Naples, FL 34103-4384, USA",043896261,34103
F0527,BISCAYNE BEACH RESIDENCES,"2900 Northeast 7th Avenue, Miami, FL 33137-4392, USA",047698061,33137
F0874,BISCAYNE LANDING,"2109 Tulip Street, Port Charlotte, FL 33953, USA",034993900,33953
F0997,BLOCK 40,"1818 Hollywood Boulevard, Hollywood, FL 33020-6856, USA",028352883,33020
F1678,BLUE SKYS COOPERATIVE,"6405 Radio Road, Naples, FL 34104-4139, USA",081657291,34104
F0705,BLUME CORAL GABLES,"1501 Southwest 37th Avenue, Miami, FL 33145-1052, USA",020697947,33145
F1211,BOCA BEACH HOUSE,725 S OCEAN BLVD 33432,086807139,33432
F0061,BOCA DELRAY,"5483 Boca Delray Boulevard, Delray Beach, FL 33484-8324, USA",075024562,33484
F0168,BOCA FALLS,"21700 Boca Falls Drive, Boca Raton, FL 33428-4879, USA",036483883,33428
F0156,BOCA GREENS,"10400 Kimberly Boulevard, Boca Raton, FL 33498, USA",003181137,33498
F0157,BOCA ISLES SOUTH,"19951 Ocean Key Drive, Boca Raton, FL 33498-4539, USA",031476074,33498
F0581,BOCA LAKE ESTATES,"7070 Northwest 2nd Avenue, Boca Raton, FL 33487-2305, USA",085422791,33487
F0383,BOCA MARINA YACHT CLUB,"5150 North Federal Highway, Boca Raton, FL 33487, USA",072421469,33487
F1686,BOCA POINTE,"7144 Boca Pointe Drive, Boca Raton, FL 33433-5908, USA",086050843,33433
F1883,BOCA TEECA,6661 NW 2ND AVE 33487,083031785,33487
F1280,BOCA WALK,"6255 Boca Circle, Boca Raton, FL 33433, USA",080692941,33433
F0518,BOCA WEST DOUBLE BULK,"20540 Country Club Drive, Boca Raton, FL 33434-4207, USA",033633296,33434
F0097,BOCA WOODS,"10471 Boca Woods Lane, Boca Raton, FL 33428-1831, USA",003418947,33428
F0363,BOCAIRE COUNTRY CLUB,"4989 Bocaire Boulevard, Boca Raton, FL 33487-1163, USA",070149401,33487
F1666,BONEFISH TOWERS,"2000 Coco Plum Drive, Marathon, FL 33050-4064, USA",032012084,33050
F0568,BONITA BAY,"3451 Bonita Bay Boulevard, Bonita Springs, FL 34134-4354, USA",055890999,34134
F1546,BORDEAUX CLUB,"2900 Gulf Shore Boulevard North, Naples, FL 34103-3936, USA",047694111,34103
F1371,BOTANIKA AT BONITA FAIRWAYS CONDOMINIUM I,"26610 Rosewood Pointe Drive, Bonita Springs, FL 34135-7585, USA",044784867,34135
F0605,BOTANIKO WESTON,"200 Bonaventure Boulevard, Weston, FL 33326-1444, USA",031891523,33326
F0948,BOULEVARD 57,"5700 Biscayne Boulevard, Miami, FL 33137-2609, USA",076408530,33137
F1263,BOYNTON LEISUREVILLE,"1807 Southwest 18th Street, Boynton Beach, FL 33426-6415, USA",028047072,33426
F1220,BRANDY WINE,"1398 South Brandywine Circle, Florida 33919-7337, USA",017308015,33919
F1611,BREAKERS CONDOMINIUM,"710 North Ocean Boulevard, Pompano Beach, FL 33062-4643, USA",085661258,33062
F0783,BRECKENRIDGE,"20091 Wimbleton Court, Estero, FL 33928-2150, USA",032264044,33928
F0433,BRENTWOOD COMMUNITY,8750 BRENTWOOD BLVD 33434,094330729,33434
F0434,BRENTWOOD ESTATES,"19951 Dean Drive, Boca Raton, FL 33434-5410, USA",031475892,33434
F0183,BRENTWOOD LAKES,"290 Bending Branch Lane Southwest, Florida 32908, USA",047660524,32908
F0778,BRICKELL FLAT IRON,"1001 South Miami Avenue, Miami, FL 33130-4108, USA",000689880,33130
F1530,BRICKELL HARBOR CONDO,"200 Southeast 15th Road, Miami, FL 33129-1200, USA",031981242,33129
F0548,BRICKELL HEIGHTS EAST,"45 Southwest 9th Street, Miami, FL 33130-5002, USA",066763476,33130
F0549,BRICKELL HEIGHTS WEST,"55 Southwest 9th Street, Miami, FL 33130-3990, USA",075146287,33130
F0355,BRICKELL HOUSE,"1300 Brickell Bay Drive, Miami, FL 33131-3380, USA",014305308,33131
F0516,BRICKELL TEN,"1010 Southwest 2nd Avenue, Miami, FL 33130-4062, USA",001382725,33130
F0858,BRICKELL TOWNHOUSE,"2451 Brickell Avenue, Miami, FL 33129-2436, USA",041729838,33129
F0747,BRICKELL WEST,"729 Northwest 2nd Street, Miami, FL 33128-1445, USA",086978849,33128
F1000,BRIDGEWATER BAY POA,"3070 Bridgewater Bay Boulevard, Naples, FL 34109-8940, USA",050524265,34109
F0610,BRIGHTON LAKES,"4775 Brighton Lakes Boulevard, Boynton Beach, FL 33436-4836, USA",068827900,33436
F1796,BRISTOL TOWER CONDOMINIUM,"2127 Brickell Avenue, Miami, FL 33129-2100, USA",035554909,33129
F0387,BROKEN SOUND,"2701 Northwest 64th Boulevard, Boca Raton, FL 33496-2059, USA",045254642,33496
F1112,BURWICK HOA,"1 Aiden Court, Palm Beach Gardens, FL 33418-7018, USA",000010187,33418
F1706,BUTTONWOOD COVE,"3500 Gulf of Mexico Drive, Longboat Key, FL 34228-2843, USA",056344792,34228
F0073,BUTTONWOOD EAST,"3370 Shadow Wood Drive, Greenacres, FL 33463-2442, USA",054931446,33463
F0074,BUTTONWOOD WEST,"3201 Silver Buttonwood Drive, Greenacres, FL 33463-8326, USA",052728537,33463
F0991,Bayfront Gardens,"Bayfront Drive, Bonita Springs, FL 34134, USA",,
F0999,Bonita Beach Club,"25730 Hickory Boulevard, Bonita Springs, FL 34134-3611, USA",043492169,34134
F0805,C.G. OF NAPLES,"766 Central Avenue, Naples, FL 34102-6000, USA",088841849,34102
F1108,CALIFORNIA CLUB HOMES,"1015 Northeast 204th Terrace, Miami, FL 33179, USA",001673021,33179
F0922,CALOOSA CREEK,"2844 Barrett Avenue, Naples, FL 34112, USA",047128223,34112
GA351,CAMDEN FOURTH WARD,"477 Wilmer Street Northeast, Atlanta, GA 30308-2989, USA",068813127,30308
F0579,CANVAS,"1671 Northeast 1st Avenue, Miami, FL 33132, USA",025058036,33132
F1778,CAPE SABLE LAKES,"121 Cape Sable Drive, Naples, FL 34104-4116, USA",011011934,34104
F1134,CARIBBEAN CONDOMINIUM,,,33140
"F0203, F0361, F0425, F0426",CARILLON BEACH SOUTH,,,33141
F1038,CARLTON,"901 East Camino Real, Boca Raton, FL 33432-6355, USA",095421874,33432
F1619,CARLTON HOUSE,2701 S OCEAN BLVD 33487,045257451,33487
F1495,CARRIAGE CLUB NORTH,"5005 Collins Avenue, Miami Beach, FL 33140-2753, USA",070628850,33140
F1788,CARROLL WALK,"9751 East Bay Harbor Drive, Bay Harbor Islands, FL 33154-3830, USA",098752017,33154
F0136,CASA COSTA,"416 North Federal Highway, Boynton Beach, FL 33435, USA",063481610,33435
F0471,CASA DEL MAR,"2632 North Federal Highway, Boynton Beach, FL 33435, USA",044453485,33435
F1741,CASA GRANDE CONDO,"CASA GRANDE CONDO, Miami Beach, FL 33139, USA",,
F1809,CASAMAR,"900 North Ocean Boulevard, Pompano Beach, FL 33062-4055, USA",095349351,33062
F0545,CASCADE LAKES,"5075 Cascade Lakes Boulevard, Boynton Beach, FL 33437-1620, USA",071474983,33437
F1705,CASCADES AT ESTERO,"CASCADES AT ESTERO, Estero, FL 33928, USA",,
F0461,CASSA BRICKELL,"201 Southwest 17th Road, Miami, FL 33129-1356, USA",032382907,33129
F1188,CASTILLO DEL SOL,799 W OCEAN DR 33051,090088681,33051
F0789,CEDAR HAMMOCK GOLF AND CC,"8660 Cedar Hammock Boulevard, Naples, FL 34112-3300, USA",094008006,34112
F0417,CENTRO DOWNTOWN CONDO,"151 Southeast 1st Street, Miami, FL 33131-1418, USA",021030009,33131
F1417,CENTURY GARDENS VILLAGE,"8990 Southwest 152nd Path, Miami, FL 33196, USA",095060118,33196
C1658,CENTURY PARK PLACE,"2131 Century Park Lane, Los Angeles, CA 90067-3313, USA",035701174,90067
F1228,CENTURY PLAZA CONDOMINIUM,"1012 North Ocean Boulevard, Pompano Beach, FL 33062-4056, USA",001510720,33062
F0373,CHAMPIONS HALL,"CHAMPIONS HALL, Champions Way, Tallahassee, FL 32304, USA",,
F1932,CHARLESTON SQUARE,"CHARLESTON SQUARE, Gulf Shore Boulevard North, Naples, FL 34102, USA",,
F1523,CHATEAU BEACH RESIDENCES,"17475 Collins Avenue, Sunny Isles Beach, FL 33160-4099, USA",026867988,33160
F1163,CHATEAU SUZANNE,3030 BINNACLE DR 34103,049848143,34103
F1337,CIRC HOTEL,"CIRC HOTEL, Hollywood, FL 33020, USA",,
F1423,CITRUS GLEN,"195 Temple Avenue, Boynton Beach, FL 33436-1841, USA",030933565,33436
-,CITY OF MIAMI (BULK - LIKE),"BULK - LIKE, Miami, FL 33139, USA",,
-,CITY OF PLANTATION (GEMS),"CITY OF PLANTATION (GEMS, Plantation, FL 33133, USA",,
F0125,CITY PALMS,"480 Hibiscus Avenue, Palm Beach, FL 33480-4609, USA",068995282,33480
F0199,CITY PLACE SOUTH,"550 Okeechobee Boulevard, West Palm Beach, FL 33401-6317, USA",075177165,33401
F0211,CLEMATIS 610,"610 Clematis Street, West Palm Beach, FL 33401-5398, USA",079303485,33401
F1847,CLIFTON CONDOMINIUM,"CLIFTON CONDOMINIUM, South Ocean Drive, Hallandale Beach, FL 33009, USA",,
F0582,CLOISTER BEACH TOWERS,"1200 South Ocean Boulevard, Boca Raton, FL 33432-7748, USA",010543913,33432
F1377,CLOISTER DEL MAR,"1180 South Ocean Boulevard, Boca Raton, FL 33432-7682, USA",009679216,33432
F0220,CLUB AT BRICKELL BAY,"1200 Brickell Bay Drive, Miami, FL 33131-3251, USA",010518088,33131
F0682,CLUB BRITTANY AT PARK SHORE,"4021 Gulf Shore Boulevard North, Naples, FL 34103-3471, USA",061567063,34103
F0677,CLUB RESIDENCES @ PARK GROVE,"2831 South Bayshore Drive, Miami, FL 33133-6061, USA",046999157,33133
F1005,COASTAL HOUSE,"2200 South Ocean Boulevard, Delray Beach, FL 33483-6492, USA",037108790,33483
F1250,COBBLE EAST,"3900 Northeast 18th Avenue, Oakland Park, FL 33334-5484, USA",060057765,33334
F0384,COBBLESTONE CREEK,"8900 Royal Cobblestone Way, Boynton Beach, FL 33472-4464, USA",094815236,33472
F1640,COCONUT BAY RESORT CONDOMINIUM,"919 North Birch Road, Fort Lauderdale, FL 33304-3317, USA",096556564,33304
F1353,COCONUT GROVE HAMPTON INN & SUITES,"COCONUT GROVE, HAMPTON INN & SUITES, Coconut Grove, FL 33133, USA",,
F1822,COCONUT SHORES,"23111 Coconut Shores Drive, Estero, FL 34134-9107, USA",039379197,34134
F1742,COCOSTYLE @ 3250 GRAND AVE.,3250 GRAND AVE 33133,053508569,33133
F0479,"COLLIER'S RESERVE","11711 Collier's Reserve Drive, Naples, FL 34110-0951, USA",009393554,34110
F1717,COLONY AT HAWKSRIDGE,"2520 Talon Court, Naples, FL 34105-4502, USA",042835067,34105
F1215,COLORS AT RAINBOW LAKES HOA,"8499 Tourmaline Boulevard, Boynton Beach, FL 33472, USA",093297878,33472
F1047,COMFORT INN & SUITES JUPITER,"COMFORT INN & SUITES JUPITER, West Indiantown Road, Jupiter, FL 33458, USA",,
F0468,COMMODORE CLUB I,"222 Harbour Drive, Naples, FL 34103-4022, USA",037621678,34103
F0442,COMMODORE CLUB II,"222 Harbour Drive, Naples, FL 34103-4022, USA",037621678,34103
F0670,COMMODORE CLUB SOUTH,"199 Ocean Lane Drive, Key Biscayne, FL 33149-1400, USA",031414240,33149
F1416,COMPSON PLACE APARTMENTS,"1831 Renaissance Commons Boulevard, Boynton Beach, FL 33426-8611, USA",028682109,33426
PA039,CONWYN,"830 Montgomery Avenue, Bryn Mawr, PA 19010-3343, USA",092441164,19010
F1585,CORAL BAY RACQUET CLUB,7751 NE BAYSHORE CT 33138,089232764,33138
F0485,CORAL LAGO,"9001 West Sample Road, Coral Springs, FL 33065-4460, USA",095378866,33065
F0564,CORAL POINT AT THE FORUM,"3414 Forum Boulevard, Fort Myers, FL 33905-5595, USA",055472966,33905
F1884,CORAL REEF ALF,"Coral Reef Drive ALF, Miami, FL 33157, USA",,
"F1267, F1334",CORAL RIDGE TOWERS NORTH,,,33308
F1157,CORAL TRACE,"190 Coral Trace Boulevard, Delray Beach, FL 33445-3400, USA",029798367,33445
